GPA;Gender;breakfast;calories_chicken;calories_day;calories_scone;coffee;comfort_food_reasons_coded;cook;cuisine;diet_current_coded;drink;eating_changes_coded;eating_out;employment;ethnic_food;exercise;father_education;father_profession;fav_cuisine_coded;fav_food;food_childhood;fries;fruit_day;grade_level;greek_food;healthy_feeling;ideal_diet_coded;income;indian_food;italian_food;life_rewarding;marital_status;meals_dinner_friend;mother_education;mother_profession;nutritional_check;on_off_campus;parents_cook;pay_meal_out;persian_food;self_perception_weight;soup;sports;thai_food;tortilla_calories;turkey_calories;type_sports;veggies_day;vitamins;waffle_calories;weight
3,87;2;1;610;3;315;1;2;3;3;2;nan;1;1;2;3;1;4;European logistics director ;8;2;Pasta;1;3;4;5;8;7;6;5;5;7;2;Meat, wine, chocolate pudding;2;House wife;4;1;3;5;5;2;2;1;5;725;500;Tennis;2;2;900;195
3,7;2;1;610;3;420;1;3;5;2;1;1;1;1;2;3;1;4;accountant ;1;1;pasta;2;4;1;4;2;2;6;5;5;5;1;pasta, pizza ;4;Underwiriter ;3;1;3;5;2;2;1;1;4;940;850;tennis soccer gym;3;1;1315;185
3,7;2;2;610;3;420;2;1;4;1;1;1;1;2;2;5;3;4;Commercial Real Estate;4;1;Chicken Nuggets;1;3;3;2;4;1;4;4;5;5;1;Pizza, Pasta, Poutine;2;Beautician ;2;1;2;3;2;3;1;1;4;940;690;Gaelic Football;4;1;1315;185
3,9;1;1;720;2;420;2;6;1;1;1;2;1;4;3;4;nan;3;Manager at Pepsi;4;1;Spaghetti ;1;4;3;5;5;2;4;3;5;2;2;Pasta, chicken and rice, and soup;2;Unemployed;2;1;1;3;3;4;2;2;4;940;500;none;4;2;1315;105
2,8;1;2;720;3;420;2;2;3;1;1;1;3;2;3;2;1;4;VP of ;0;3;Chicken parm, beef stroganof, tacos;1;4;1;3;8;2;6;3;3;5;1;"Pasta
Take out";3;Medical biller;4;1;1;3;3;3;1;1;3;1165;690;Ice hockey;3;2;760;125
3,7;2;1;610;2;420;1;2;3;1;1;1;1;2;2;2;1;4;Beverage and Food Sales;1;1;Chicken Parm, Pizza ;1;3;2;1;9;5;5;1;5;9;2;Chicken parm ;2;Doctors Billing Assiant ;2;1;1;4;1;2;2;1;2;1165;850;Hockey;3;2;1315;160
3;2;1;610;4;980;2;2;4;1;1;2;2;2;3;3;1;5;Dentist ;2;1;Steak;1;5;1;3;9;6;6;3;4;9;2;Steak, lobster, chicken ;5;Dentist ;4;1;1;6;2;2;1;1;3;1165;500;Lacrosse ;5;1;1315;175
3,2;2;1;610;2;420;2;2;2;2;2;1;1;2;2;2;2;4;Electrical Engineer;1;1;Deer Steak, Buttered Pasta, Garlic Pasta;1;3;3;1;4;7;5;1;5;3;1;Garlic noodles and steak, Parmesan chicken and pasta, Tacos and pasta;4;Air Traffic Controller;5;1;1;3;2;3;1;2;1;940;500;nan;2;1;1315;180
3,5;2;1;265;2;420;2;2;3;nan;2;2;1;5;3;5;2;5;Radio Telecommunications Manager;8;1;Crab legs, Mushroom soup, homemade rolls;1;5;3;3;9;7;5;5;5;10;1;Tomato soup, Steak, crab;5;Strategic Planning and Programs Manager;2;1;1;4;5;2;1;2;5;580;500;nan;4;1;760;167
4;1;1;720;3;420;2;1;3;1;1;1;1;3;2;4;2;2;nan;2;2;french fries, waffles, chocolate;1;3;4;2;7;2;5;3;4;8;2;pasta, chicken with potatoes, pizza ;5;teacher;4;3;3;3;2;3;2;1;3;940;500;snowboarding;5;1;1315;115
4;2;1;610;3;420;2;1;2;1;2;2;3;2;3;5;2;4;deceased;1;1;chicken and biscuits;1;5;2;5;5;1;4;4;5;3;1;Chicken, Steak, Pasta;2;management;4;4;1;3;3;4;2;2;4;940;690;none organized;5;1;1315;205
3,4;2;1;610;3;315;2;4;5;nan;2;2;1;3;2;5;nan;5;Lawyer;2;nan;Spaghetti, Chicken, Won Tons;1;4;4;5;5;7;5;5;5;8;1;Pasta,Sushi,Steak;5;Lawyer;4;1;3;4;5;4;1;1;5;580;345;Soccer;5;1;760;nan
2,8;1;1;720;3;420;1;2;4;2;2;1;1;2;3;4;3;4;landscaping ;1;1;Chicken Nuggets, Mac and Cheese, and pasta;1;3;1;5;7;2;3;2;5;3;1;Chicken Parmesan, pasta,  ;nan;unemployed;4;1;1;3;2;3;1;2;1;1165;500;nan;3;1;900;128
3,65;1;1;610;3;420;2;2;4;1;2;1;1;3;3;2;1;4;Vice President of a company;1;3;hamburgers, chicken nuggets ;1;5;1;3;1;7;6;1;5;3;1;pasta, lasagna, chicken ;4;stylist;4;1;5;4;1;2;1;1;3;940;345;softball;4;1;1315;150
3;1;1;610;2;420;2;2;1;1;3;1;1;2;3;2;1;4;Owns his own promotional company ;5;1;chicken, pasta, stir fry;1;5;3;3;2;6;4;1;5;3;2;Some kind of pasta, a chicken dish, some kind of salad;4;Works in retail;2;2;1;3;2;2;1;1;2;940;690;Lacrosse;5;2;760;150
3,7;1;1;610;3;420;2;2;3;nan;2;2;1;4;2;4;1;5;Optometrist ;1;3;pizza, pasta, grilled cheese ;1;5;2;3;7;5;6;2;5;7;1;spaghetti or pasta, shrimp fried rice, chicken ;2;Homemaker ;3;1;2;3;1;4;2;1;2;1165;500;Softball ;5;2;900;150
3,4;1;1;720;4;420;2;1;2;6;2;2;1;2;2;4;3;2;Construction ;1;1;Pasta;1;3;4;5;4;2;6;3;5;2;2;Pasta, Pizza, Chicken ;3;Head of Human Resouces;4;1;1;4;3;4;1;1;5;940;500;Dancing;4;2;1315;170
3,89;1;1;610;3;980;2;2;3;1;1;1;1;2;3;4;2;4;Biohemical Waste Elimination;1;1;chicken parmesan;1;4;4;3;6;2;5;3;5;8;2;Chicken Parmesan, Orange Chicken, Tacos;4;Accountant;4;1;1;3;3;4;1;1;2;1165;690;Lacrosse;3;2;1315;150
3;2;1;720;nan;980;2;9;5;1;2;2;1;5;3;3;1;5;Corporate Manager ;2;1;Chicken and steak ;1;5;4;1;3;2;6;3;4;5;2;Steak and potatoes, burgers and fries, bacon and eggs ;2;Marketing Analyst;1;2;3;3;1;1;1;1;3;1165;690;Hockey;3;2;1315;175
3,4;2;1;430;3;315;1;3;3;1;3;2;1;2;3;4;1;4;Small business owner ;1;1;pizza, ice cream. pop tarts ;1;3;1;5;10;2;6;3;5;8;1;Pizza, Japanize Hibachi, Moes   ;4;Middle school teacher;3;1;1;3;3;2;1;1;3;940;500;wrestling ;4;2;760;140
2,9;1;1;720;4;980;2;5;2;1;4;1;1;4;2;4;1;2;Welder;1;1;Mac cheese ;1;5;2;5;6;3;3;3;5;4;1;Chicken, Pasta, Salad;3;Art teacher ;4;1;1;3;2;6;1;2;4;940;690;nan;5;1;1315;120
3,6;1;1;610;3;420;2;2;4;1;2;2;1;2;2;3;nan;4;Design Engineer;1;1;French Toast, Grilled Cheese, Orange Chicken;1;5;2;5;6;1;6;4;5;7;1;Pancakes, Pasta, Grilled Cheese and Soup;4;Account Clerical ;1;1;2;3;2;3;1;2;4;940;500;nan;4;2;900;135
3,5;1;1;430;2;980;1;3;3;1;2;1;2;1;nan;5;nan;2;Unknown ;4;3;pickles, chinese food, pizza;1;4;3;5;6;2;3;5;5;8;2;pasta, soup, steak  ;2;Caretaker;3;nan;1;2;5;nan;2;2;5;940;345;no particular engagement ;4;1;900;100
3,2;1;1;610;4;420;2;1;1;1;1;1;2;2;2;5;1;4;Electrical Engineer;4;1;Mac and Cheese, Hot Dogs, Grilled Cheese;1;5;4;5;8;7;5;5;5;10;1;Steak, asparagus and potatoes, homemade chicken alfredo, Mexican cuisine;2;Secretary;4;2;1;6;5;3;1;1;5;725;500;Volleyball;5;1;760;170
3,605;1;1;610;3;315;2;4;3;1;1;1;2;2;2;5;nan;4;Banker;1;1;Hamloaf, tuna fish salad, mac and cheese ;1;5;2;5;3;6;6;5;5;3;2;Tacos, spaghetti, grilled cheese;4;Registered Nurse;2;1;2;4;5;1;1;2;5;940;500;none;5;2;900;113
3,8;2;1;430;2;420;1;3;3;1;2;2;1;2;2;4;2;3;subcontractor ;1;1;chicken soup,  perogies, & roast beef  ;1;4;1;4;4;5;4;3;5;4;1;Spaghetti, steak, burgers ;4;telemarketer ;3;1;2;3;3;3;1;1;3;725;345;soccer ;4;2;900;168
2,8;2;1;430;nan;980;2;2;4;1;2;1;1;2;nan;3;1;5;small business owner ;1;3;lasagna, meatloaf, pizza;1;5;1;3;8;7;6;2;4;9;1;lasagna,  hamburgers w/ corn, steak  ;5;nurse;2;1;1;3;4;2;1;1;1;940;345;wrestling & rowing;5;2;900;145
3,5;2;2;430;nan;315;1;1;4;1;2;2;1;2;3;4;1;4;House Appraiser;4;1;Tacos, Spaghetti, and Roast;1;5;2;4;2;7;5;4;5;3;1;Steak, Chicken, Tacos;4;Banker;3;1;1;3;4;1;2;1;4;940;345;Wrestling;5;1;760;155
3,83;2;1;430;3;315;2;5;3;2;2;1;1;2;nan;3;2;2;not sure;1;1;mac and cheease, mashed potatoes, salmon;1;3;3;4;9;2;3;4;5;9;2;pizza, pasta, burgers;4;Office assistant;2;1;2;6;nan;1;2;2;4;1165;690;none;3;2;900;150
3,6;2;1;720;3;420;2;1;5;1;1;1;2;2;3;2;1;3;Fireman;5;2;Pizza;1;4;3;1;8;4;1;1;3;8;1;Pizza, salad;2;Secretary;5;3;1;3;1;3;1;2;1;1165;500;nan;5;2;760;169
3,3;2;1;610;4;980;1;5;3;1;4;1;1;3;3;5;1;2;President of Automotive company ;0;1;Steak ;1;5;2;5;8;5;6;5;5;8;1;Steak, Chicken, Pasta ;2;Stay home;5;1;1;3;5;2;1;1;5;1165;500;Hockey;4;1;1315;185
3,3;2;1;610;4;420;2;2;1;1;3;1;1;5;nan;4;1;3;UPS driver ;2;1;Grilled chicken, pasta, and turkey ;1;5;2;5;1;3;5;3;5;5;1;Chicken Parm;2;Unemployed ;5;1;1;3;3;2;2;1;3;1165;500;Lacrosse ;5;2;900;200
3,292;2;1;610;nan;980;2;2;4;1;4;2;3;3;nan;3;nan;2;HVAC Professional;5;3;Chicken, Pizza, Cherry tomatoes;1;4;4;4;5;3;3;2;5;1;1;Pizza, Steak, Spaghetti;5;Counseling, Teaching, Geologist, Psychic;1;3;1;3;3;4;1;2;1;940;500;nan;4;1;1315;265
3,5;2;1;610;3;420;2;1;1;2;1;1;2;3;3;5;1;4;Sergeant correctional officer;1;1;Chicken Alfredo;2;5;2;5;10;7;6;4;5;10;1;Chicken, Steak, Pasta;5;Teacher;4;1;1;6;2;2;1;1;4;940;690;hockey;5;1;900;165
3,35;1;2;610;2;315;2;2;3;nan;2;2;4;5;3;3;1;1;union worker;1;1;steak and cheesy potatoes;1;4;1;3;8;5;3;2;5;8;1;mac n cheese, steak, potatos;3;factory worker;3;1;2;2;2;3;1;1;3;940;500;softball;4;2;900;192
3,8;2;1;720;4;315;2;2;3;1;1;1;2;4;3;5;1;4;Salesman;4;1;Meatloaf;1;5;4;4;1;2;6;5;5;1;1;Chicken, Beef, Steak;4;Nurse;4;2;1;4;4;2;1;1;5;1165;500;Hockey;5;1;1315;175
2,8;1;1;610;4;980;2;9;2;1;1;1;2;3;2;2;1;2;Owns his business;5;3;Pizza pasta and quesadillas ;2;4;2;5;9;2;5;2;5;10;1;chicken, pizza, stuffed shells;4;Sales;5;1;1;3;1;2;2;1;2;725;345;softball;4;1;1315;140
3,5;1;1;610;3;420;2;1;1;2;3;2;1;2;2;5;2;4;Physical Therapist;2;1;Steak;2;5;3;5;4;6;5;5;5;1;1;steak, noodles, edemame;5;Elementary School Principal;2;2;1;4;4;3;1;1;5;1165;690;Skiing;5;1;1315;155
3,7;1;1;610;nan;420;2;2;2;1;3;2;1;2;3;5;nan;4;Insurance ;1;3;Mac and cheese ;1;5;4;5;7;1;6;5;5;10;1;Steak and veggies. Chicken and rice. Stirfry. ;4;Real Estate Agent ;2;2;2;3;4;3;2;1;5;1165;500;skiing ;4;2;1315;155
3,6;1;1;610;4;420;2;3;2;1;1;2;3;5;3;5;1;4;Construction management ;2;1;lasagna;1;5;1;4;3;6;6;1;5;5;1;Lasagna, steak, chili ;4;X-ray tech;4;1;1;3;1;2;1;1;1;1165;690;Water polo and running ;5;1;1315;135
nan;1;1;610;2;980;2;3;2;nan;1;1;2;2;2;4;2;2;Dead beat ;2;2;Chocolate;2;3;4;3;2;2;4;2;4;5;2;"I would say ""lets go out""";4;Respiratory Therapist;4;3;1;2;3;2;2;2;2;725;500;nan;3;1;1315;118
3,9;2;1;610;4;980;2;2;3;1;1;1;2;5;2;2;1;2;police force;1;1;Pizza, Pasta, Chicken;1;4;4;3;2;7;6;2;5;1;1;pasta, chicken, vegetables;2;Legal assistant;4;1;2;3;2;2;1;1;2;1165;850;Ice Hockey;4;1;1315;210
2,6;1;1;610;4;980;2;3;3;2;1;nan;3;4;3;5;1;4;VP of GNC;1;1;chicken tenders, pasta, mac&cheese ;1;5;3;4;8;6;5;4;4;8;2;chicken and pasta, homemade pizza, lasagna ;4;dietitian ;4;1;1;3;4;2;nan;1;4;1165;690;rowing ;5;2;1315;180
3,5;1;1;610;3;420;1;2;1;1;1;1;1;3;2;4;1;2;Owner of New York Lunch;4;3;chicken stir fry, spaghetti, chicken parmesan ;1;5;2;4;3;5;2;3;5;1;2;1. pasta 2. spaghetti 3. chicken and rice ;2;CNA ;4;1;1;2;3;4;2;1;3;940;500;Volleyball;5;1;760;140
3,2;1;1;610;nan;315;2;2;2;2;2;1;1;3;3;3;2;5;Dentist;1;3;Mac and Cheese, Chicken nuggets;1;3;2;3;3;6;6;1;5;3;2;Lasagna, Steak, Pasta ;nan;Periodontist;1;1;2;5;1;2;1;2;4;725;500;None;3;2;900;112
3;1;1;720;3;420;1;3;2;1;1;2;1;2;3;3;nan;2;mechanic ;5;1;Mac and cheese ;1;5;1;4;3;5;4;3;5;3;2;mac and cheese, pizza, chicken ;4;business;4;1;1;3;3;2;1;1;3;940;500;tennis  ;5;1;900;125
3,6;1;1;610;2;420;1;2;4;1;2;2;1;3;2;5;2;2;Truck Driver ;1;1;Mac&Cheese, Chicken Nuggets ;1;5;2;2;2;7;5;2;4;2;2;Lasagna, Pizza, Pasta ;3;Project Manager ;2;1;2;4;1;2;1;1;2;940;690;Recreational Basketball, Equestrian Team;5;2;1315;144
3,2;1;1;430;3;315;1;1;3;1;1;2;1;1;3;4;1;5;Dentist ;1;1;Pasta, pizza, meatballs ;1;5;1;3;8;3;6;2;5;8;2;pasta, chicken parm, tacos ;5;school teacher;3;1;1;4;2;3;1;1;4;725;500;soccer;5;2;760;145
3,67;1;2;720;4;420;2;2;2;nan;2;2;1;2;3;2;2;4;Sales Manager ;1;1;Steak, Garlic and butter noodles, schnitzle;1;3;3;1;3;4;6;1;5;3;2;Steak, pasta, burgers;4;Homemaker;4;2;1;3;1;3;2;2;5;1165;690;None;5;1;1315;130
3,73;1;1;610;3;980;2;2;3;1;1;1;1;1;2;5;2;4;Retired - Bus Driver;1;1;Pizza and Spaghetti;2;5;3;5;3;1;3;5;5;2;2;Pizza, Italian, anything chicken related;2;Stay-At-Home Mom;2;1;1;3;5;3;1;1;5;1165;500;Rec Volleyball;5;1;1315;140
4;1;1;720;nan;420;2;2;2;1;1;1;1;1;2;5;1;2;Transportation ;1;1;Spaghetti ;2;5;3;3;5;3;5;4;5;2;2;Spaghetti, steak, or chicken;4;Social Services;4;1;1;6;3;4;1;1;4;1165;690;Softball;5;1;1315;140
3,1;2;2;610;3;980;2;2;3;1;2;2;1;1;2;4;2;nan;Police Officer;0;2;Pizza Mac n Cheese Pasta;1;5;1;2;3;7;5;3;5;2;1;Pasta, Steak, Chicken;4;Runs a Daycare;2;1;1;2;2;3;1;2;3;1165;345;nan;5;1;1315;140
3,79;2;1;720;4;420;2;2;1;1;2;2;2;4;3;3;1;4;Risk Manager;2;1;Pizza;1;3;2;3;1;3;6;1;5;2;2;chipotle, chick fil a, chicken and rice;2;Customer Service;5;3;1;3;1;3;1;1;2;1165;850;baseball;4;1;1315;200
2,71;2;2;265;2;420;1;9;2;4;4;2;3;1;3;3;2;1;retire;0;2;nan;1;4;3;3;8;8;3;3;3;10;4;rice and Chicken, sea food;1;nan;2;2;3;5;3;3;1;2;3;580;345;nan;4;2;760;nan
3;1;1;610;3;420;2;3;3;1;1;1;1;2;2;5;1;4;car salesman;1;1;salad, chicken, pizza;1;5;1;3;6;2;5;4;5;9;2;Chicken, Spaghetti, Hamburgers;4;RN;4;1;2;4;3;3;1;2;4;940;500;I danced in high school;4;1;900;120
3,7;1;2;610;3;420;1;2;2;1;2;2;1;2;2;2;2;2;dairy farmer;5;3;pizza, mashed potatoes, chocolate chip cookies;1;4;4;2;4;3;3;1;5;4;1;chicken, steak, pizza;5;program director;3;2;1;3;1;4;2;1;1;1165;690;horse back riding;2;2;1315;150
3,1;2;2;265;2;420;1;2;2;1;2;2;2;2;2;1;2;2;Dairy Farmer ;5;2;Pizza and wings ;1;3;4;1;4;7;3;1;4;5;2;Steak, Pizza, Haddock ;5;Programs coordinator ;1;1;1;3;1;3;2;1;2;725;345;Basketball ;2;2;900;200
3;1;1;720;3;420;2;1;2;1;3;1;1;2;2;3;1;2;self employed;4;1;tacos, pizza, chicken wing dip;2;5;2;4;8;3;5;3;4;8;2;mexican chicken, hibachi chicken and rice, steak;2;self employed;4;1;1;3;2;3;1;1;3;580;345;competitive skiing;4;1;1315;135
3,9;2;1;720;3;420;2;2;5;1;2;2;1;1;3;5;1;3;Contract negotiations;4;1;Sloppy joes;1;5;1;5;1;8;6;4;5;3;1;Chicken and vegetables, Roast Beef, pasta;2;none;4;1;1;3;4;2;1;1;5;1165;850;Rowing, Running, and Cycling;4;2;1315;145
3,4;1;1;430;2;420;2;7;3;1;2;2;1;3;2;4;2;2;Police Officer ;1;3;Spaghetti and Meatballs, Steak, and Burgers;1;3;1;3;4;2;4;3;5;1;1;Salad, pasta, and ice cream;4;Legal Secretary;2;1;1;3;3;3;1;2;4;1165;500;nan;2;1;900;130
3,5;1;2;610;3;420;1;2;3;1;2;2;1;3;3;4;1;4;IT;1;1;chicken fingers, pasta, pizza;1;4;4;4;2;3;4;4;5;2;2;steak, mashed potatoes, vegetables ;4;secretary ;2;1;3;5;4;4;2;1;4;725;500;softball and basketball;2;2;900;190
3,7;1;1;265;nan;315;2;2;nan;1;4;2;1;5;3;4;1;4;Works for Kirila Fire;1;1;spaghetti and tacos;1;3;3;3;8;2;3;3;5;7;1;pizza, tacos, pasta;4;works in Loans department in First National Bank;3;1;2;3;3;3;1;1;3;580;345;wrestling;3;2;575;170
3,7;1;1;430;3;420;2;2;2;1;2;1;1;2;nan;5;nan;2;Realtor;2;1;Spaghetti or  chicken panini sandwich ;1;4;1;5;4;5;1;5;5;1;nan;Spaghetti con Chorizo, Carne Asada, Salmon;1;Janitor;3;1;2;2;5;3;1;1;5;940;690;Marching Band;4;2;1315;127
3,83;1;1;720;3;420;2;3;1;1;1;2;2;2;3;5;1;4;Solar Engineering ;2;3;Spaghetti and Pop-tarts;1;5;2;5;9;5;5;5;5;9;2;Stuffed chicken breasts, spagetti carbonara, breakfast for dinner ;3;Yoga Instructor ;5;1;1;3;4;2;1;1;5;725;690;Collegiate Water Polo;5;1;760;167
2,6;1;1;265;3;315;2;1;3;1;3;2;1;3;2;3;3;5;Lawyer;4;3;Pasta, breakfast for dinner, pizza;1;5;1;4;7;5;6;2;5;7;2;Pasta, breakfast for dinner, pizza;3;Nurse;3;1;2;3;3;3;1;2;3;580;500;None right now;4;1;760;140
3;1;1;610;3;420;2;2;2;1;1;2;2;1;3;4;2;2;Service Technition;4;3;peanut butter and jelly, celery and peanut butter, hot pockets ;1;5;1;4;3;5;6;4;5;1;1;Pizza, Chicken and rice and pasta;4;Sales Manager at Business First;5;1;1;3;3;4;1;1;4;580;500;volleyball, lacrosse;4;1;900;190
3,2;2;1;720;3;420;1;3;4;1;2;2;1;2;2;3;1;4;engineer ;5;2;pizza;1;4;2;1;5;2;6;1;5;4;1;Pasta, pizza, and chicken;5;principal ;2;1;1;3;1;4;1;1;1;1165;690;field hockey;4;1;1315;155
3,5;2;2;720;4;980;2;9;nan;1;2;2;2;1;2;5;1;2;handyman;2;1;Quesadilla, chocolate, steak;1;4;3;5;7;6;2;5;5;1;1;burritos, pasta, chicken;nan;home cleaner;5;1;1;4;5;2;1;2;5;1165;850;nan;4;1;1315;175
3,2;1;1;610;3;420;2;1;3;nan;2;1;2;2;2;5;1;4;cross-guard ;4;1;Jollof Rice, Bread, pasta ;2;5;3;4;7;2;3;5;5;1;1;Rice with vegetables, chicken with pasta, salad;2;A teacher ;5;1;2;3;4;3;1;2;5;1165;500;none ;5;1;900;129
3,68;2;1;720;4;420;2;2;4;nan;1;2;2;2;3;3;1;2;Project manager;1;1;Chinese food, pizza, chicken adobo;1;5;1;4;7;4;6;3;5;8;1;any Chinese food, pasta, burgers;3;Secretary ;2;1;1;4;3;4;2;1;3;1165;850;Fotball;4;1;1315;260
3,8;1;2;610;2;420;2;2;2;1;2;2;1;3;2;2;2;5;Teacher;5;3;Pasta, chicken, pizza ;1;2;3;1;5;2;6;1;4;2;2;Pasta, chicken, pizza ;5;Teacher;3;2;3;3;1;3;1;2;1;725;500;crew;1;2;900;135
